Custo inicial: 4882.5
-Custo solução SA2: 1252.71
-Custo solução SA2: 1252.71
-Custo solução SA2: 1250.71
-Custo solução SA2: 1218.71
-Custo solução SA2: 1190.71
-Custo solução SA2: 1209.71
-Custo solução SA2: 1216.71
-Custo solução SA2: 1216.71
-Custo solução SA2: 1216.71
-Custo solução SA2: 1216.71
-Custo solução SA2: 1214.71
-Custo solução SA2: 1204.71
-Custo solução SA2: 1190.71
-Custo solução SA2: 1220.71
-Custo solução SA2: 1204.71
-Custo solução SA2: 1253.71
-Custo solução SA2: 1204.71
-Custo solução SA2: 1204.71
-Custo solução SA2: 1202.71
-Custo solução SA2: 1198.71
-Custo solução SA2: 1198.71
-Custo solução SA2: 1198.71
-Custo solução SA2: 1194.71
-Custo solução SA2: 1228.71
-Custo solução SA2: 1198.71
-Custo solução SA2: 1198.71
-Custo solução SA2: 1198.71
-Custo solução SA2: 1198.71
-Custo solução SA2: 1194.71
-Custo solução SA2: 1194.71
-Custo solução SA2: 1194.71
-Custo solução SA2: 1192.71
-Custo solução SA2: 1192.71
-Custo solução SA2: 1186.71
-Custo solução SA2: 1174.71
-Custo solução SA2: 1168.71
-Custo solução SA2: 1168.71
-Custo solução SA2: 1136.71
-Custo solução SA2: 1132.71
-Custo solução SA2: 1132.71
-Custo solução SA2: 1130.71
-Custo solução SA2: 1126.71
-Custo solução SA2: 1092.71
-Custo solução SA2: 1107.71
-Custo solução SA2: 1126.71
-Custo solução SA2: 1126.71
-Custo solução SA2: 1118.71
-Custo solução SA2: 1116.71
-Custo solução SA2: 1114.71
-Custo solução SA2: 1114.71
-Custo solução SA2: 1114.71
-Custo solução SA2: 1108.71
-Custo solução SA2: 1108.71
-Custo solução SA2: 1108.71
-Custo solução SA2: 1108.71
-Custo solução SA2: 1116.71
-Custo solução SA2: 1106.71
-Custo solução SA2: 1106.71
-Custo solução SA2: 1106.71
-Custo solução SA2: 1126.71
-Custo solução SA2: 1106.71
-Custo solução SA2: 1168.71
-Custo solução SA2: 1106.71
-Custo solução SA2: 1106.71
-Custo solução SA2: 1106.71
-Custo solução SA2: 1106.71
-Custo solução SA2: 1106.71
-Custo solução SA2: 1106.71
-Custo solução SA2: 1106.71
-Custo solução SA2: 1106.71
-Custo solução SA2: 1106.71
-Custo solução SA2: 1128.71
-Custo solução SA2: 1106.71
-Custo solução SA2: 1106.71
-Custo solução SA2: 1084.71
-Custo solução SA2: 1084.71
-Custo solução SA2: 1084.71
-Custo solução SA2: 1084.71
-Custo solução SA2: 1084.71
-Custo solução SA2: 1084.71
-Custo solução SA2: 1084.71
-Custo solução SA2: 1084.71
-Custo solução SA2: 1084.71
-Custo solução SA2: 1084.71
-Custo solução SA2: 1084.71
-Custo solução SA2: 1084.71
-Custo solução SA2: 1084.71
-Custo solução SA2: 1084.71
-Custo solução SA2: 1084.71
-Custo solução SA2: 1084.71
-Custo solução SA2: 1070.71
-Custo solução SA2: 1099.52
-Custo solução SA2: 1084.71
-Custo solução SA2: 1084.71
-Custo solução SA2: 1082.71
-Custo solução SA2: 1080.71
-Custo solução SA2: 1078.71
-Custo solução SA2: 1078.71
-Custo solução SA2: 1078.71
-Custo solução SA2: 1078.71
-Custo solução SA2: 1078.71
-Custo solução SA2: 1089.71
-Custo solução SA2: 1078.71
-Custo solução SA2: 1120.71
-Custo solução SA2: 1078.71
-Custo solução SA2: 1078.71
-Custo solução SA2: 1076.71
-Custo solução SA2: 1074.71
-Custo solução SA2: 1074.71
-Custo solução SA2: 1114.71
-Custo solução SA2: 1074.71
-Custo solução SA2: 1074.71
-Custo solução SA2: 1074.71
-Custo solução SA2: 1072.71
-Custo solução SA2: 1072.71
-Custo solução SA2: 1072.71
-Custo solução SA2: 1072.71
-Custo solução SA2: 1072.71
-Custo solução SA2: 1072.71
-Custo solução SA2: 1072.71
-Custo solução SA2: 1072.71
-Custo solução SA2: 1072.71
-Custo solução SA2: 1072.71
-Custo solução SA2: 1094.71
-Custo solução SA2: 1072.71
-Custo solução SA2: 1060.71
-Custo solução SA2: 1060.71
-Custo solução SA2: 1060.71
-Custo solução SA2: 1060.71
-Custo solução SA2: 1060.71
-Custo solução SA2: 1060.71
-Custo solução SA2: 1060.71
-Custo solução SA2: 1060.71
-Custo solução SA2: 1097.62
-Custo solução SA2: 1060.71
-Custo solução SA2: 1095.71
-Custo solução SA2: 1058.71
-Custo solução SA2: 1062.71
-Custo solução SA2: 1024.71
-Custo solução SA2: 1024.71
-Custo solução SA2: 1024.71
-Custo solução SA2: 1022.71
-Custo solução SA2: 1022.71
-Custo solução SA2: 1022.71
-Custo solução SA2: 1020.71
-Custo solução SA2: 1020.71
-Custo solução SA2: 1020.71
-Custo solução SA2: 1020.71
-Custo solução SA2: 1020.71
-Custo solução SA2: 1045.71
-Custo solução SA2: 1020.71
-Custo solução SA2: 1022.71
-Custo solução SA2: 1020.71
-Custo solução SA2: 1074.71
-Custo solução SA2: 1020.71
-Custo solução SA2: 1020.71
-Custo solução SA2: 1020.71
-Custo solução SA2: 1020.71
-Custo solução SA2: 1020.71
-Custo solução SA2: 1018.71
-Custo solução SA2: 1018.71
-Custo solução SA2: 1049.71
-Custo solução SA2: 1014.71
-Custo solução SA2: 1014.71
-Custo solução SA2: 1014.71
-Custo solução SA2: 1014.71
-Custo solução SA2: 1014.71
-Custo solução SA2: 1014.71
-Custo solução SA2: 1014.71
-Custo solução SA2: 1014.71
-Custo solução SA2: 1014.71
-Custo solução SA2: 1014.71
-Custo solução SA2: 1010.71
-Custo solução SA2: 1010.71
-Custo solução SA2: 1010.71
-Custo solução SA2: 1008.71
-Custo solução SA2: 1008.71
-Custo solução SA2: 1008.71
-Custo solução SA2: 1008.71
-Custo solução SA2: 1000.71
-Custo solução SA2: 1000.71
-Custo solução SA2: 1000.71
-Custo solução SA2: 1000.71
-Custo solução SA2: 1035.71
-Custo solução SA2: 1000.71
-Custo solução SA2: 1000.71
-Custo solução SA2: 998.71
-Custo solução SA2: 1048.71
-Custo solução SA2: 998.71
-Custo solução SA2: 998.71
-Custo solução SA2: 998.71
-Custo solução SA2: 998.71
-Custo solução SA2: 998.71
-Custo solução SA2: 998.71
-Custo solução SA2: 998.71
-Custo solução SA2: 998.71
-Custo solução SA2: 998.71
-Custo solução SA2: 994.71
-Custo solução SA2: 994.71
-Custo solução SA2: 994.71
-Custo solução SA2: 994.71
-Custo solução SA2: 994.71
-Custo solução SA2: 994.71
-Custo solução SA2: 994.71
-Custo solução SA2: 994.71
-Custo solução SA2: 992.71
-Custo solução SA2: 990.71
-Custo solução SA2: 990.71
-Custo solução SA2: 990.71
-Custo solução SA2: 990.71
-Custo solução SA2: 990.71
-Custo solução SA2: 990.71
-Custo solução SA2: 990.71
-Custo solução SA2: 988.71
-Custo solução SA2: 988.71
-Custo solução SA2: 1037.71
-Custo solução SA2: 988.71
-Custo solução SA2: 988.71
-Custo solução SA2: 986.71
-Custo solução SA2: 986.71
-Custo solução SA2: 986.71
-Custo solução SA2: 986.71
-Custo solução SA2: 986.71
-Custo solução SA2: 984.71
-Custo solução SA2: 984.71
-Custo solução SA2: 984.71
-Custo solução SA2: 982.71
-Custo solução SA2: 982.71
-Custo solução SA2: 976.71
-Custo solução SA2: 996.71
-Custo solução SA2: 980.71
-Custo solução SA2: 980.71
-Custo solução SA2: 980.71
-Custo solução SA2: 980.71
-Custo solução SA2: 980.71
-Custo solução SA2: 1014.71
-Custo solução SA2: 980.71
-Custo solução SA2: 980.71
-Custo solução SA2: 980.71
-Custo solução SA2: 1042.71
-Custo solução SA2: 980.71
-Custo solução SA2: 1003.71
-Custo solução SA2: 968.71
-Custo solução SA2: 968.71
-Custo solução SA2: 968.71
-Custo solução SA2: 1004.71
-Custo solução SA2: 968.71
-Custo solução SA2: 968.71
-Custo solução SA2: 968.71
-Custo solução SA2: 968.71
-Custo solução SA2: 968.71
-Custo solução SA2: 960.71
-Custo solução SA2: 960.71
-Custo solução SA2: 960.71
-Custo solução SA2: 960.71
-Custo solução SA2: 960.71
-Custo solução SA2: 960.71
-Custo solução SA2: 960.71
-Custo solução SA2: 960.71
-Custo solução SA2: 960.71
-Custo solução SA2: 962.71
-Custo solução SA2: 962.71
-Custo solução SA2: 962.71
-Custo solução SA2: 997.71
-Custo solução SA2: 962.71
-Custo solução SA2: 990.71
-Custo solução SA2: 962.71
-Custo solução SA2: 962.71
-Custo solução SA2: 962.71
-Custo solução SA2: 1046.71
-Custo solução SA2: 962.71
-Custo solução SA2: 962.71
-Custo solução SA2: 962.71
-Custo solução SA2: 962.71
-Custo solução SA2: 962.71
-Custo solução SA2: 1002.71
-Custo solução SA2: 962.71
-Custo solução SA2: 960.71
-Custo solução SA2: 960.71
-Custo solução SA2: 960.71
-Custo solução SA2: 952.71
-Custo solução SA2: 979.71
-Custo solução SA2: 952.71
-Custo solução SA2: 952.71
-Custo solução SA2: 952.71
-Custo solução SA2: 952.71
-Custo solução SA2: 952.71
-Custo solução SA2: 952.71
-Custo solução SA2: 952.71
-Custo solução SA2: 991.71
-Custo solução SA2: 952.71
-Custo solução SA2: 952.71
-Custo solução SA2: 952.71
-Custo solução SA2: 952.71
-Custo solução SA2: 952.71
-Custo solução SA2: 952.71
-Custo solução SA2: 952.71
-Custo solução SA2: 946.71
-Custo solução SA2: 938.71
-Custo solução SA2: 938.71
-Custo solução SA2: 930.71
-Custo solução SA2: 944.71
-Custo solução SA2: 938.71
-Custo solução SA2: 938.71
-Custo solução SA2: 938.71
-Custo solução SA2: 938.71
-Custo solução SA2: 938.71
-Custo solução SA2: 938.71
-Custo solução SA2: 938.71
-Custo solução SA2: 938.71
-Custo solução SA2: 936.71
-Custo solução SA2: 936.71
-Custo solução SA2: 936.71
-Custo solução SA2: 965.71
-Custo solução SA2: 936.71
-Custo solução SA2: 936.71
-Custo solução SA2: 936.71
-Custo solução SA2: 981.71
-Custo solução SA2: 936.71
-Custo solução SA2: 1018.71
-Custo solução SA2: 936.71
-Custo solução SA2: 934.71
-Custo solução SA2: 934.71
-Custo solução SA2: 934.71
-Custo solução SA2: 934.71
-Custo solução SA2: 950.71
-Custo solução SA2: 934.71
-Custo solução SA2: 953.71
-Custo solução SA2: 930.71
-Custo solução SA2: 922.71
-Custo solução SA2: 922.71
-Custo solução SA2: 962.71
-Custo solução SA2: 922.71
-Custo solução SA2: 1014.71
-Custo solução SA2: 922.71
-Custo solução SA2: 914.71
-Custo solução SA2: 914.71
-Custo solução SA2: 914.71
-Custo solução SA2: 914.71
-Custo solução SA2: 914.71
-Custo solução SA2: 914.71
-Custo solução SA2: 904.71
-Custo solução SA2: 924.71
-Custo solução SA2: 922.71
-Custo solução SA2: 920.71
-Custo solução SA2: 916.71
-Custo solução SA2: 914.71
-Custo solução SA2: 959.71
-Custo solução SA2: 916.71
-Custo solução SA2: 916.71
-Custo solução SA2: 916.71
-Custo solução SA2: 931.71
-Custo solução SA2: 916.71
-Custo solução SA2: 916.71
-Custo solução SA2: 914.71
-Custo solução SA2: 910.71
-Custo solução SA2: 908.71
-Custo solução SA2: 908.71
-Custo solução SA2: 908.71
-Custo solução SA2: 908.71
-Custo solução SA2: 908.71
-Custo solução SA2: 906.71
-Custo solução SA2: 906.71
-Custo solução SA2: 959.71
-Custo solução SA2: 898.71
-Custo solução SA2: 898.71
-Custo solução SA2: 898.71
-Custo solução SA2: 898.71
-Custo solução SA2: 898.71
-Custo solução SA2: 898.71
-Custo solução SA2: 898.71
-Custo solução SA2: 898.71
-Custo solução SA2: 898.71
-Custo solução SA2: 896.71
-Custo solução SA2: 898.71
-Custo solução SA2: 894.71
-Custo solução SA2: 894.71
-Custo solução SA2: 913.71
-Custo solução SA2: 894.71
-Custo solução SA2: 894.71
-Custo solução SA2: 894.71
-Custo solução SA2: 894.71
-Custo solução SA2: 894.71
-Custo solução SA2: 890.71
-Custo solução SA2: 890.71
-Custo solução SA2: 925.71
-Custo solução SA2: 890.71
-Custo solução SA2: 900.71
-Custo solução SA2: 890.71
-Custo solução SA2: 888.71
-Custo solução SA2: 888.71
-Custo solução SA2: 888.71
-Custo solução SA2: 884.71
-Custo solução SA2: 884.71
-Custo solução SA2: 878.71
-Custo solução SA2: 878.71
-Custo solução SA2: 878.71
-Custo solução SA2: 940.71
-Custo solução SA2: 878.71
-Custo solução SA2: 923.71
-Custo solução SA2: 878.71
-Custo solução SA2: 897.71
-Custo solução SA2: 878.71
-Custo solução SA2: 878.71
-Custo solução SA2: 878.71
-Custo solução SA2: 876.71
-Custo solução SA2: 876.71
-Custo solução SA2: 876.71
-Custo solução SA2: 876.71
-Custo solução SA2: 876.71
-Custo solução SA2: 876.71
-Custo solução SA2: 876.71
-Custo solução SA2: 872.71
-Custo solução SA2: 872.71
-Custo solução SA2: 868.71
-Custo solução SA2: 862.71
-Custo solução SA2: 862.71
-Custo solução SA2: 862.71
-Custo solução SA2: 858.71
-Custo solução SA2: 858.71
-Custo solução SA2: 858.71
-Custo solução SA2: 858.71
-Custo solução SA2: 856.71
-Custo solução SA2: 856.71
-Custo solução SA2: 852.71
-Custo solução SA2: 852.71
-Custo solução SA2: 852.71
-Custo solução SA2: 846.71
-Custo solução SA2: 846.71
-Custo solução SA2: 846.71
-Custo solução SA2: 844.71
-Custo solução SA2: 844.71
-Custo solução SA2: 844.71
-Custo solução SA2: 844.71
-Custo solução SA2: 844.71
-Custo solução SA2: 871.71
-Custo solução SA2: 840.71
-Custo solução SA2: 869.71
-Custo solução SA2: 844.71
-Custo solução SA2: 865.71
-Custo solução SA2: 844.71
-Custo solução SA2: 870.71
-Custo solução SA2: 844.71
-Custo solução SA2: 844.71
-Custo solução SA2: 844.71
-Custo solução SA2: 844.71
-Custo solução SA2: 844.71
-Custo solução SA2: 844.71
-Custo solução SA2: 844.71
-Custo solução SA2: 844.71
-Custo solução SA2: 842.71
-Custo solução SA2: 842.71
-Custo solução SA2: 842.71
-Custo solução SA2: 904.71
-Custo solução SA2: 840.71
-Custo solução SA2: 840.71
-Custo solução SA2: 840.71
-Custo solução SA2: 840.71
-Custo solução SA2: 840.71
-Custo solução SA2: 840.71
-Custo solução SA2: 840.71
-Custo solução SA2: 840.71
-Custo solução SA2: 840.71
-Custo solução SA2: 840.71
-Solução Final do Problema:
-Custo Total da solução: 840.71
